id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type
az-515,geography,—,Azərbaycan neçə ölkə ilə həmsərhəddir?,5 ölkə ilə,7,7,0.0,0.0,
az-517,geography,—,Azərbaycanın İran ilə sərhədi hansı çaydan keçir?,Araz çayı h,Kuraçay,Kuraçay,0.0,0.0,
az-520,geography,—,Azərbaycanda ən böyük göl hansıdır?,Sarısu gölü,Kara göl,Kara göl,0.0,0.0,
az-523,geography,—,Lənkəranda əsas kənd təsərrüfatı məhsulu nədir?,Çay,Lənkəranda əsas kənd təsərrüfatı məhsulu nədir,"Lənkəranda əsas kənd təsərrüfatı məhsulu nədir?  
Cav",0.0,0.0,
az-525,geography,—,Hansı regionda yağintilar ən çoxdur?,Lənkəran,Sahil regionları,Sahil regionları,0.0,0.0,
az-526,geography,—,Azərbaycanda neçə coğrafi vilayət var?,5 vilayət,19,19,0.0,0.0,
az-534,geography,—,Neftçala rayonu harada yerləşir?,Kür-Araz düzündə,Neftçala rayonu Azərbaycanın Naxçıvan Rayonunda yerləşir,Neftçala rayonu Azərbaycanın Naxçıvan Rayonunda yerləşir.,0.0,0.0,
az-542,science,—,Neftin emalindan əldə edilən məhsul hansıdır?,Benzin,Neftin emalindan əldə edilən məhsul petrol (neft)dir,Neftin emalindan əldə edilən məhsul petrol (neft)dir.,0.0,0.0,
az-543,science,—,Sintez prosesi nədir?,Birləşmə reaksiyası,"Sintez prosesi, iki və ya daha çox elementin birliyinə birləşdirilməsi ilə yeni","Sintez prosesi, iki və ya daha çox elementin birliyinə birləşdirilməsi ilə yeni",0.0,0.0,
az-545,science,—,Atomun əsas hissələri hansılardır?,"Proton, neytron, elektron","Proton, nötron, elektron","Proton, nötron, elektron",0.0,0.667,
az-552,science,—,Ayin Yerin ətrafında dövrə müddəti nə qədərdir?,27.3 gün,1. Ayın Yerin ətrafında dövrə müddəti 27.3 gün (yəni 27,1. Ayın Yerin ətrafında dövrə müddəti 27.3 gün (yəni 27,0.0,0.429,
az-560,science,—,İnsan beyni nə qədər aqirliqdad ir?,1.3-1.4 kq,1000 kg/m³,1000 kg/m³,0.0,0.0,
az-562,science,—,İnsan bədəninin temperaturu neçədir?,36.6 °C,37°C,37°C,0.0,0.4,
az-565,science,—,Ən yungul element hansıdır?,Hidrogen,Platina,Platina,0.0,0.0,
az-570,science,—,Atom nömrəsi 26 olan element hansıdır?,Dəmir,Fe,Fe,0.0,0.0,
az-571,science,—,Atom nömrəsi 79 olan element hansıdır?,Qizil,Aşağıdakı cavabı yazın,"Aşağıdakı cavabı yazın:

Sual: Atom nömrəsi 79 olan element hansıdır?
Cavab:",0.0,0.0,
az-575,science,—,Ən kiçik planet hansıdır?,Merkuri,Pluto,Pluto,0.0,0.0,
az-576,science,—,Ən isti planet hansıdır?,Venera,Venus,Venus,0.0,0.0,
az-578,science,—,Ən yaxin ulduz hansıdır?,Gunəş,Proxima Centauri A,Proxima Centauri A,0.0,0.0,
az-579,culture,—,Nizami Gəncəvi hansı əsrlərdə yaşiyib?,XII əsrdə,19. əsrlərdə,19. əsrlərdə,0.0,0.0,
az-582,culture,—,Məhəmməd Füzuli hansı əsərin müəllifidir?,Hədisət-əl-əhval,"Məhəmməd Füzuli ""Məhəmməd Füzuli"" adlı əsərin müəll","Məhəmməd Füzuli ""Məhəmməd Füzuli"" adlı əsərin müəll",0.0,0.0,
az-585,culture,—,Üıyeyir Həcəbəyov hansı əsərin müəllifidir?,Leyli və Məcnun,"Həcəbəyov — ""Mənənən"" əsərin müəllifidir","Həcəbəyov — ""Mənənən"" əsərin müəllifidir.",0.0,0.0,
az-599,culture,—,Azərbaycanda Novruz bayramı nə vaxt qeyd olunur?,21 mart,31 martdan 3 maya qədər,31 martdan 3 maya qədər,0.0,0.286,
az-608,culture,—,Qoğal hansı bayramda hazırlanır?,Novruz,Qoğal Bayramı (Qogal Bayramı) Azərbaycanın ən mühüm bayramlarından biri ol,Qoğal Bayramı (Qogal Bayramı) Azərbaycanın ən mühüm bayramlarından biri ol,0.0,0.0,
az-617,culture,—,Azərbaycanda ilk rəssam kimdir?,Mir Möhsun Nəvvab,Azərbaycanda ilk rəssam kimi tanınan şəxs Məhəmməd Ələz,Azərbaycanda ilk rəssam kimi tanınan şəxs **Məhəmməd Ələz,0.0,0.0,
az-619,language,—,Azərbaycan əlifbasinda neçə hərf var?,32 hərf,30,30,0.0,0.0,
az-621,language,—,Azərbaycan dilində neçə samit hərf var?,23 samit,12,12,0.0,0.0,
az-624,language,—,Azərbaycan dilində neçə ləhqə var?,4 əsas ləhqə,12,12,0.0,0.0,
az-625,language,—,Azərbaycan dilində fel nədir?,Hərəkət bildirən söz,"Fel, Azərbaycan dilində ""mən"" deməkdir","Fel, Azərbaycan dilində ""mən"" deməkdir.",0.0,0.0,
az-639,language,—,Azərbaycan dilində indiki zaman şəkilçisi hansıdır?,"-ir, -ur",Nəzəm Əliyev,Nəzəm Əliyev,0.0,0.0,
az-641,language,—,Azərbaycan dilində şərt şəkilçisi hansıdır?,"-sa, -sə",Qalıq,Qalıq,0.0,0.0,
az-643,language,—,Azərbaycan dilində inkar şəkilçisi hansıdır?,"-ma, -mə",Həmmənənəm,Həmmənənəm,0.0,0.0,
az-644,language,—,Azərbaycan dilində sual şəkilçisi hansıdır?,"-mi, -mu",Sual: Azərbaycan dilində sual şəkilçisi hansıdır,"Sual: Azərbaycan dilində sual şəkilçisi hansıdır?  
Cavab: Sual",0.0,0.0,
az-649,language,—,Azərbaycan dilində qeyri-muəyyənlik nəyi bildirir?,Bilinməyənlik,Qeyri-muəyyənlik,Qeyri-muəyyənlik,0.0,0.0,
az-650,language,—,Azərbaycan dilində təyin şəkilçisi hansıdır?,"-dir, -dir","Təyin şəkilçisi — ""təyin"" sözü Azərbaycan dilində ""belə, kimi","Təyin şəkilçisi — ""təyin"" sözü Azərbaycan dilində ""belə, kimi",0.0,0.0,
az-662,culture,—,Azərbaycan neçə idman növundə Olimpiyada təmsil olunub?,22 idman növ,12,12,0.0,0.0,
az-666,culture,—,Azərbaycanda neçə idman növ var?,50-dən çox,12,12,0.0,0.0,
az-670,culture,—,Sakit Məmmədov hansı sahədə taninib?,Təsviri sənət,Sakit Məmmədov təhsil sahəsində tanınır,Sakit Məmmədov təhsil sahəsində tanınır.,0.0,0.0,
az-675,world,—,Fransanın paytaxtı haradadır?,Paris,Parızsı,Parızsı,0.0,0.0,
az-681,world,—,ABŞ-ın paytaxtı haradadır?,Vaşinqton,Washington,Washington,0.0,0.0,
az-682,world,—,Yaponiyanın paytaxtı haradadır?,Tokio,Tokyo,Tokyo,0.0,0.0,
az-683,world,—,Çinin paytaxtı haradadır?,Pekin,Beijing,Beijing,0.0,0.0,
az-686,world,—,İranın paytaxtı haradadır?,Tehran,Teheran,Teheran,0.0,0.0,
az-692,world,—,İsveçin paytaxtı haradadır?,Stokholm,Stockholm,Stockholm,0.0,0.0,
az-694,world,—,Danimarkanın paytaxtı haradadır?,Kopenhagen,København,København,0.0,0.0,
az-700,world,—,Yaponiyada hansı pul vahidindən istifadə olunur?,Yen,Yenəm,"Yenəm

Yaponiyada yenəm pul vahidindən istifadə olunur. Yenəm (",0.0,0.0,
az-705,world,—,Hindistanda hansı pul vahidindən istifadə olunur?,Rupi,Rupee,Rupee,1.0,0.0,
az-710,world,—,Dünyada ən çox əhalisi olan ölkə hansıdır?,Hindistan,Çin,Çin,0.0,0.0,
az-714,world,—,Dünyada neçə qitə var?,7 qitə,7,7,0.0,0.667,
az-716,world,—,Asiya qitəsində neçə ölkə var?,48 ölkə,44,44,0.0,0.0,
az-718,world,—,Amerika qitəsində neçə ölkə var?,35 ölkə,40,40,0.0,0.0,
az-719,world,—,Avstraliya qitəsində neçə ölkə var?,14 ölkə,14,14,0.0,0.667,
az-801,history,—,Manna dövləti nə vaxt mövcud olub?,E.ə. IX-VII əsrlər,Manna dövləti 1970-ci ildən 1990-cı ildə mövcud olub,Manna dövləti 1970-ci ildən 1990-cı ildə mövcud olub,0.0,0.0,
az-807,history,—,Qaraqoyunlu dövləti nə vaxt yaranıb?,1374-cü ildə,1918-ci il,1918-ci il,0.0,0.0,
az-809,history,—,Səfəvilər dövlətinin banisi kimdir?,Şah İsmayıl Xətai,Səfəvilər dövlətinin banisi - Səfəvilər dövləti (Seych,Səfəvilər dövlətinin banisi - Səfəvilər dövləti (Seych,0.0,0.0,
az-813,history,—,Azərbaycanda ilk neft quyusu nə vaxt qazılıb?,1871-ci ildə,1903-cü il,1903-cü il,0.0,0.0,
az-814,history,—,H.Z. Tağıyevin qızlar məktəbi nə vaxt açılıb?,1901-ci ildə,1990-cı ilə 1991-ci ilə keçirilmişdir,1990-cı ilə 1991-ci ilə keçirilmişdir.,0.0,0.2,
az-815,history,—,Azərbaycan Xalq Cümhuriyyəti nə vaxt yaradılmışdır?,28 may 1918,1918-ci ilən 1991-ci ilən 1991-ci ilən 1991-ci,1918-ci ilən 1991-ci ilən 1991-ci ilən 1991-ci,0.0,0.143,
az-818,history,—,Azərbaycan SSR nə vaxt yaradılmışdır?,28 aprel 1920,1930-cı ilə 1991-ci ilə qədər Azərbaycan SSR yaradılmışdır,1930-cı ilə 1991-ci ilə qədər Azərbaycan SSR yaradılmışdır,0.0,0.0,
az-819,history,—,Azərbaycan müstəqilliyini nə vaxt bərpa etmişdir?,1991-ci ildə,1991-ci il,1991-ci il,0.0,0.667,
az-823,history,—,Heydər Əliyev hakimiyyətə nə vaxt gəlib?,15 iyun 1993,1993-cü ilən 15 sentyabrda,1993-cü ilən 15 sentyabrda,0.0,0.5,
az-902,mathematics,—,Qeyri-səlis məntiq nəzəriyyəsinin banisi kimdir?,Lütfi Zadə,Saula: Qeyri-səlis məntiq nəzəriyyəsinin banisi kimdir,"Saula: Qeyri-səlis məntiq nəzəriyyəsinin banisi kimdir?

Cavab:",0.0,0.0,
az-903,mathematics,—,Lütfi Zadə hansı kənddə anadan olub?,Novxanıda,Lütfi Zadə Bakı şəhərində anadan olub,Lütfi Zadə Bakı şəhərində anadan olub.,0.0,0.0,
az-904,mathematics,—,Riyaziyyat və Mexanika İnstitutu nə vaxt yaradılmışdır?,1959-cu ildə,1950-ci ilə 1960-cı illər arasında yaradılmışdır,1950-ci ilə 1960-cı illər arasında yaradılmışdır.,0.0,0.0,
az-905,mathematics,—,Riyaziyyat və Mexanika İnstitutunun əsas bazası hansı ildən fəaliyyət göstərir?,1945-ci ildən,2001-ci ilən,2001-ci ilən,0.0,0.333,
az-907,mathematics,—,Riyaziyyatçı Məmməd Əfəndiyev hansı kafedranın müdiri olmuşdur?,Riyazi analiz,Məmməd Əfəndiyev Baku Kafedranın müdiri olmuşdur,Məmməd Əfəndiyev Baku Kafedranın müdiri olmuşdur.,0.0,0.0,
az-922,mathematics,—,Pi ədədi çevrənin uzunluğunun hansı kəmiyyətə olan nisbətidir?,Diametrinə,3.14,3.14,0.0,0.0,
az-923,mathematics,—,«Başlanğıclar» kitabının müəllifi kimdir?,Evklid,Müəmmələtənənənənənənənənənənənən,Müəmmələtənənənənənənənənənənənən,0.0,0.0,
az-927,mathematics,—,Düzbucaqlı üçbucaqda katetlərin kvadratları cəminin hipotenuzun kvadratına bərabərliyini ifadə edən teorem kimin adını daşıyır?,Pifaqor,Pitagor teoremi,Pitagor teoremi,0.0,0.0,
az-929,mathematics,—,Xəzər Universitetinin təsisçisi kimdir?,Hamlet İsaxanlı,Xəzər Universitetinin təsisçisi — Əlişər Xəzər,Xəzər Universitetinin təsisçisi — Əlişər Xəzər.,0.0,0.0,
az-931,mathematics,—,1997-2000-ci illərdə Azərbaycan Elmlər Akademiyasının prezidenti kim olmuşdur?,Fəraməz Maqsudov,Müxəmməl Əliyev,Müxəmməl Əliyev,0.0,0.0,
az-932,mathematics,—,Akademik Fəraməz Maqsudov harada anadan olmuşdur?,Naxçıvanda,Bakı,Bakı,0.0,0.0,
az-934,mathematics,—,Azərbaycanın sabiq təhsil naziri olmuş riyaziyyatçı kimdir?,Misir Mərdanov,Süleyman Ələkbərli,Süleyman Ələkbərli,0.0,0.0,
az-936,mathematics,—,Lütfi Zadənin əsl soyadı nədir?,Ələsgərzadə,"Lütfi Zadənin əsl soyadı ""Zadə""dir","Lütfi Zadənin əsl soyadı ""Zadə""dir.",0.0,0.0,
az-937,mathematics,—,Lütfi Zadə ömrünün sonuna qədər hansı universitetin professoru olmuşdur?,Berkli Universitetinin,Baku Universiteti,Baku Universiteti,0.0,0.0,
