id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type
az-091,language,2,Fici hind dilinin yazı sistemi hansıdır?,Devanagari,Alfabet,Alfabet.,0.0,0.0,
az-097,history,0,Azərbaycan Dövlət Akademik Opera və Balet Teatrının memarı kimdir?,Nikolay Bayev,M. M. Məmmərov,M. M. Məmmərov,0.0,0.0,
az-099,history,2,Bibiheybət məscidinin layihəsini kim hazırlayıb?,Mahmud ibn Səd,Muhacir,Cavab: Muhacir,0.0,0.0,
az-101,history,0,Azərbaycan Dövlət Kukla Teatrının memarı kimdir?,İosif Ploşko,M. M. Məmmərov,Cavab: M. M. Məmmərov,0.0,0.0,
az-119,geography,2,Astaraçay hansı su hövzəsinə qovuşur?,Xəzər dənizi,Qahirə,Cavab: Qahirə,0.0,0.0,
az-502,geography,—,Xəzər dənizi nə tip göldür?,Duzlu göl,Cevap: Marmara,Cevap: Marmara,0.0,0.0,
az-516,geography,—,Azərbaycanın Rusiya ilə sərhədi haradadır?,Şimalda,Qələbəy,Cavab: Qələbəy,0.0,0.0,
az-517,geography,—,Azərbaycanın İran ilə sərhədi hansı çaydan keçir?,Araz çayı h,Ceylan,Ceylan,0.0,0.0,
az-520,geography,—,Azərbaycanda ən böyük göl hansıdır?,Sarısu gölü,Qələbəy,Qələbəy,0.0,0.0,
az-526,geography,—,Azərbaycanda neçə coğrafi vilayət var?,5 vilayət,5,5,0.0,0.667,
az-527,geography,—,Göygöl gölü harada yerləşir?,Kiçik Qafqazda,Sual: Göygöl gölü harada yerləşir,"Sual: Göygöl gölü harada yerləşir?  
Cavab: Məsələ, Göygöl gö",0.0,0.0,
az-530,geography,—,Azərbaycanın cənub nöqtəsi haradadır?,Astara çayı h,Qazaxız,Cavab: Qazaxız,0.0,0.0,
az-533,geography,—,Azərbaycanın şərq nöqtəsi haradadır?,Şah dili,Qələbə,Qələbə,0.0,0.0,
az-535,geography,—,Siyəzən rayonu hansı regiondadır?,Abşeron-Yalama,Qafqaz,Qafqaz,0.0,0.0,
az-538,geography,—,İsmayıllı rayonu hansı regiondadır?,Şəki-Zaqatala,İsmayıllı rayonu Azərbaycan regionundadır,İsmayıllı rayonu Azərbaycan regionundadır.,0.0,0.0,
az-541,science,—,Qazil neft harada yaranir?,Yer qabiginda,Qazil neft harada yaranir,Qazil neft harada yaranir?,0.0,0.0,
az-543,science,—,Sintez prosesi nədir?,Birləşmə reaksiyası,"Sintez prosesi, kimyada bir element ya da manyetik elementlər arasında ətrafda qalan məsə","Sintez prosesi, kimyada bir element ya da manyetik elementlər arasında ətrafda qalan məsə",0.0,0.0,
az-546,science,—,Suyun kimyəvi formulu nədir?,H2O,O2,O2,0.0,0.0,
az-552,science,—,Ayin Yerin ətrafında dövrə müddəti nə qədərdir?,27.3 gün,30 gün,30 gün,0.0,0.4,
az-554,science,—,Nisbilik nəzəriyyəsini kim irəli surub?,Albert Eynşteyn,Mendeleev,Mendeleev,0.0,0.0,
az-558,science,—,İnsan bədənində neçə əzələ var?,600-dən çox,12,12,0.0,0.0,
az-567,science,—,Atom nömrəsi 1 olan element hansıdır?,Hidrogen,Qidirə,Cavab: Qidirə,0.0,0.0,
az-574,science,—,Ən böyük planet hansıdır?,Yupiter,Qafqaz,Qafqaz,0.0,0.0,
az-576,science,—,Ən isti planet hansıdır?,Venera,Qeyri-planet,Qeyri-planet,0.0,0.0,
az-587,culture,—,Qara Qarayev hansı əsərin müəllifidir?,Yeddi gözəl,Qajar əsəri,Cavab: Qajar əsəri,0.0,0.0,
az-589,culture,—,Tofig Quliyev hansı əsərin müəllifidir?,Gəlin qayası,Quliyev,Quliyev,0.0,0.0,
az-594,culture,—,Azərbaycanda xalçaçılıq nə vaxt yaranıb?,Qədim dövrlərdə,1936-yı ildə,Cavab: 1936-yı ildə,0.0,0.0,
az-599,culture,—,Azərbaycanda Novruz bayramı nə vaxt qeyd olunur?,21 mart,Qeyb: Əlavə 15-21 aprel vaxtında,Qeyb: Əlavə 15-21 aprel vaxtında,0.0,0.25,
az-600,culture,—,Novruz bayramında əsas süfrə nədir?,Xonça,Qamar,Cavab: Qamar,0.0,0.0,
az-603,culture,—,Azərbaycan mətbəxində əsas ət məhsulu hansıdır?,Qoyun əti,Qarabagış,Cavab: Qarabagış,0.0,0.0,
az-607,culture,—,Paqlava hansı bayramda hazırlanır?,Novruz,Cəvab: Qiyamaddin,Cəvab: Qiyamaddin,0.0,0.0,
az-633,language,—,Azərbaycan dilində yiyəlik hal sualları hansılardır?,Kimin? Nəyin?,Yiyəlik,Yiyəlik,0.0,0.0,
az-638,language,—,Azərbaycan dilində keçmiş zaman şəkilçisi hansıdır?,"-diq, -di",Qəhrəmə,Cavab: Qəhrəmə,0.0,0.0,
az-642,language,—,Azərbaycan dilində lazım şəkilçisi hansıdır?,"-malidir, -məlidir",Qahirə,Qahirə,0.0,0.0,
az-645,language,—,Azərbaycan dilində yaxinlaşdirma şəkilçisi hansıdır?,"-imi, -umu",Qəl,Qəl,0.0,0.0,
az-649,language,—,Azərbaycan dilində qeyri-muəyyənlik nəyi bildirir?,Bilinməyənlik,Qeyri-muəyyənlik,Qeyri-muəyyənlik,0.0,0.0,
az-650,language,—,Azərbaycan dilində təyin şəkilçisi hansıdır?,"-dir, -dir",Təyin,Cavab: Təyin,0.0,0.0,
az-657,language,—,Azərbaycan dilində üçuncu şəxs şəkilçisi hansıdır?,"-dir, -lar",Qamar,Cavab: Qamar,0.0,0.0,
az-658,language,—,Azərbaycan dilində birinci şəxs cəm şəkilçisi hansıdır?,-ik,Qamar,Cavab: Qamar,0.0,0.0,
az-661,culture,—,Azərbaycanın ən çox medal qazandigi idman növ hansıdır?,Guləş,Atletizm,Atletizm,0.0,0.0,
az-662,culture,—,Azərbaycan neçə idman növundə Olimpiyada təmsil olunub?,22 idman növ,Bazdən,Bazdən.,0.0,0.0,
az-663,culture,—,Azərbaycanın ilk Olimpiya qizil medalini kim qazanıb?,Zemfira Meftahətdinova,Nəlbari,Cavab: Nəlbari,0.0,0.0,
az-664,culture,—,Bədən tərbiyəsi və idman günü nə vaxt qeyd olunur?,5 mart,Günün 5-6 dəqiqəsi,Günün 5-6 dəqiqəsi,0.0,0.333,
az-681,world,—,ABŞ-ın paytaxtı haradadır?,Vaşinqton,Washington,Washington,0.0,0.0,
az-685,world,—,Türkiyənin paytaxtı haradadır?,Ankara,İstifadəsi: Qahirə,İstifadəsi: Qahirə,0.0,0.0,
az-691,world,—,Polşanın paytaxtı haradadır?,Varşava,Polşanın paytaxtı Haradadır,Polşanın paytaxtı Haradadır.,0.0,0.0,
az-692,world,—,İsveçin paytaxtı haradadır?,Stokholm,Helsingförd,Cavab: Helsingförd,0.0,0.0,
az-693,world,—,Norveçin paytaxtı haradadır?,Oslo,Hamar,Hamar,0.0,0.0,
az-695,world,—,Finlandiyanın paytaxtı haradadır?,Helsinki,Finlandiyanın paytaxtı Helsinkidır,Finlandiyanın paytaxtı Helsinkidır.,0.0,0.0,
az-700,world,—,Yaponiyada hansı pul vahidindən istifadə olunur?,Yen,Yeniden,Yeniden.,1.0,0.0,
az-701,world,—,İngiltərədə hansı pul vahidindən istifadə olunur?,Funt sterlinq,£,£,0.0,0.0,
az-704,world,—,İranda hansı pul vahidindən istifadə olunur?,Rial,Sual: İranda hansı pul vahidindən istifadə olunur,"Sual: İranda hansı pul vahidindən istifadə olunur?  
Cavab: Münhesi",0.0,0.0,
az-708,world,—,Dünyada ən böyük ölkə hansıdır?,Rusiya,Amerika Saxari,Amerika Saxari,0.0,0.0,
az-709,world,—,Dünyada ən kiçik ölkə hansıdır?,Vatikan,Qatar,Qatar,0.0,0.0,
az-711,world,—,Dünyada ən hündür dağ zirvəsi hansıdır?,Everest,Kilimə,Kilimə,0.0,0.0,
az-718,world,—,Amerika qitəsində neçə ölkə var?,35 ölkə,5,5,0.0,0.0,
az-720,world,—,Antarktida qitəsində neçə ölkə var?,0 ölkə,5,Cavab: 5,0.0,0.0,
az-802,history,—,Atropatena dövləti nə vaxt yaradılıb?,E.ə. 323-cü ildə,1922-ci ildə,Cavab: 1922-ci ildə.,0.0,0.25,
az-803,history,—,Babək Xürrəmilər hərəkatına nə vaxt başçılıq etməyə başlayıb?,816-cı ildə,1375-yə qarşı,Cavab: 1375-yə qarşı,0.0,0.0,
az-809,history,—,Səfəvilər dövlətinin banisi kimdir?,Şah İsmayıl Xətai,Sülṭan,Cavab: Sülṭan,0.0,0.0,
az-811,history,—,Türkmənçay müqaviləsi nə vaxt imzalanmışdır?,10 fevral 1828,Türkmənçay müqaviləsi 1923-yə qarşı imzalanmışdır,Türkmənçay müqaviləsi 1923-yə qarşı imzalanmışdır.,0.0,0.0,
az-817,history,—,11-ci Qırmızı Ordu Bakıya nə vaxt daxil olub?,27 aprel 1920,11-ci Qırmızı Ordu Bakıya 1920-yı illərin əvvəlində dax,11-ci Qırmızı Ordu Bakıya 1920-yı illərin əvvəlində dax,0.0,0.154,
az-818,history,—,Azərbaycan SSR nə vaxt yaradılmışdır?,28 aprel 1920,Azərbaycan SSR 1924-ci ildə yaradılmışdır,Azərbaycan SSR 1924-ci ildə yaradılmışdır.,0.0,0.0,
az-819,history,—,Azərbaycan müstəqilliyini nə vaxt bərpa etmişdir?,1991-ci ildə,Azərbaycan müstəqilliyini 1917-ci ilin fevralı 10-daxil etmiş,Azərbaycan müstəqilliyini 1917-ci ilin fevralı 10-daxil etmiş,0.0,0.167,
az-824,history,—,İkinci Qarabağ müharibəsi nə vaxt başlayıb?,27 sentyabr 2020,Qahirə,Qahirə,0.0,0.0,
az-905,mathematics,—,Riyaziyyat və Mexanika İnstitutunun əsas bazası hansı ildən fəaliyyət göstərir?,1945-ci ildən,1920-ya qədər,1920-ya qədər,0.0,0.0,
az-906,mathematics,—,Bakı Dövlət Universitetinin Mexanika-riyaziyyat fakültəsinin ilk azərbaycanlı dekanı kim olub?,Mikayıl Xıdırzadə,Bakı Dövlət Universitetinin Mexanika-riyaziyyat fakültəsinin ilk azərbaycan,Bakı Dövlət Universitetinin Mexanika-riyaziyyat fakültəsinin ilk azərbaycan,0.0,0.0,
az-907,mathematics,—,Riyaziyyatçı Məmməd Əfəndiyev hansı kafedranın müdiri olmuşdur?,Riyazi analiz,Mənə əlveriş verən əsas ədədi ən ən,Cavab: Mənə əlveriş verən əsas ədədi ən ən,0.0,0.0,
az-909,mathematics,—,Ali məktəb tələbələrinin ilk fənn olimpiadası hansı ildə keçirilmişdir?,1994-cü ildə,Ali məktəb tələbələrinin ilk fənn olimpiadası 1924 ild,Ali məktəb tələbələrinin ilk fənn olimpiadası 1924 ild,0.0,0.0,
az-920,mathematics,—,Üçbucağın daxili bucaqlarının cəmi neçə dərəcədir?,180,120,120,0.0,0.0,
az-923,mathematics,—,«Başlanğıclar» kitabının müəllifi kimdir?,Evklid,William Shakespeare,Cavab: William Shakespeare,0.0,0.0,
az-927,mathematics,—,Düzbucaqlı üçbucaqda katetlərin kvadratları cəminin hipotenuzun kvadratına bərabərliyini ifadə edən teorem kimin adını daşıyır?,Pifaqor,Pythagoras,Pythagoras,0.0,0.0,
az-928,mathematics,—,Nəsirəddin Tusi hansı şəhərdə rəsədxana tikdirmişdir?,Marağada,Nəsirəddin Tusi Qahirə şəhərdə rəsədxana tikdirmişdir,Nəsirəddin Tusi Qahirə şəhərdə rəsədxana tikdirmişdir.,0.0,0.0,
az-929,mathematics,—,Xəzər Universitetinin təsisçisi kimdir?,Hamlet İsaxanlı,Xəzər Universitetinin təsisçisi Əli Qəsimovdur,Xəzər Universitetinin təsisçisi Əli Qəsimovdur.,0.0,0.0,
az-932,mathematics,—,Akademik Fəraməz Maqsudov harada anadan olmuşdur?,Naxçıvanda,Mərkəzən,Mərkəzən.,0.0,0.0,
az-933,mathematics,—,Riyaziyyatçı Cəlal Allahverdiyev harada anadan olmuşdur?,Şuşada,Mərkəzən,Mərkəzən.,0.0,0.0,
az-934,mathematics,—,Azərbaycanın sabiq təhsil naziri olmuş riyaziyyatçı kimdir?,Misir Mərdanov,Əhməd Əliyev,Cavab: Əhməd Əliyev,0.0,0.0,
az-935,mathematics,—,Akademik Azad Mirzəcanzadə harada anadan olmuşdur?,Bakıda,Qahirə,Qahirə,0.0,0.0,
az-936,mathematics,—,Lütfi Zadənin əsl soyadı nədir?,Ələsgərzadə,"Lütfi Zadənin əsl soyadı ""Zadə""dir","Cavab: Lütfi Zadənin əsl soyadı ""Zadə""dir.",0.0,0.0,
